Date,Week,ProdName,Price,Seasonality,Quantity
1/2/2018,1,Basil Extra Virgin Olive Oil,25,2,2
1/3/2018,1,Basil Extra Virgin Olive Oil,24,3,4
1/4/2018,1,Basil Extra Virgin Olive Oil,26,4,3
1/5/2018,1,Basil Extra Virgin Olive Oil,23,5,3
1/6/2018,1,Basil Extra Virgin Olive Oil,28,6,5
1/7/2018,1,Basil Extra Virgin Olive Oil,26,7,5
1/8/2018,2,Basil Extra Virgin Olive Oil,28,1,1
1/9/2018,2,Basil Extra Virgin Olive Oil,24,2,2
1/10/2018,2,Basil Extra Virgin Olive Oil,25,3,5
1/11/2018,2,Basil Extra Virgin Olive Oil,23,4,3
1/12/2018,2,Basil Extra Virgin Olive Oil,24,5,8
1/13/2018,2,Basil Extra Virgin Olive Oil,23,6,7
1/15/2018,3,Basil Extra Virgin Olive Oil,23,1,1
1/16/2018,3,Basil Extra Virgin Olive Oil,23,2,2
1/17/2018,3,Basil Extra Virgin Olive Oil,28,3,0
1/18/2018,3,Basil Extra Virgin Olive Oil,29,4,2
1/21/2018,3,Basil Extra Virgin Olive Oil,25,7,2
1/22/2018,4,Basil Extra Virgin Olive Oil,24,1,1
1/23/2018,4,Basil Extra Virgin Olive Oil,29,2,4
1/24/2018,4,Basil Extra Virgin Olive Oil,27,3,1
1/25/2018,4,Basil Extra Virgin Olive Oil,27,4,4
1/26/2018,4,Basil Extra Virgin Olive Oil,24,5,3
1/27/2018,4,Basil Extra Virgin Olive Oil,26,6,6
1/28/2018,4,Basil Extra Virgin Olive Oil,27,7,7
1/29/2018,5,Basil Extra Virgin Olive Oil,24,1,3
1/30/2018,5,Basil Extra Virgin Olive Oil,24,2,4
2/1/2018,5,Basil Extra Virgin Olive Oil,26,4,3
2/2/2018,5,Basil Extra Virgin Olive Oil,23,5,5
2/3/2018,5,Basil Extra Virgin Olive Oil,25,6,8
2/4/2018,5,Basil Extra Virgin Olive Oil,28,7,5
2/5/2018,6,Basil Extra Virgin Olive Oil,28,1,4
2/6/2018,6,Basil Extra Virgin Olive Oil,25,2,4
2/8/2018,6,Basil Extra Virgin Olive Oil,28,4,4
2/9/2018,6,Basil Extra Virgin Olive Oil,27,5,5
2/10/2018,6,Basil Extra Virgin Olive Oil,26,6,9
2/11/2018,6,Basil Extra Virgin Olive Oil,26,7,4
2/14/2018,7,Basil Extra Virgin Olive Oil,29,3,3
2/15/2018,7,Basil Extra Virgin Olive Oil,28,4,2
2/16/2018,7,Basil Extra Virgin Olive Oil,26,5,5
2/17/2018,7,Basil Extra Virgin Olive Oil,26,6,6
2/18/2018,7,Basil Extra Virgin Olive Oil,24,7,4
2/19/2018,8,Basil Extra Virgin Olive Oil,24,1,0
2/20/2018,8,Basil Extra Virgin Olive Oil,25,2,2
2/21/2018,8,Basil Extra Virgin Olive Oil,27,3,3
2/22/2018,8,Basil Extra Virgin Olive Oil,27,4,2
2/23/2018,8,Basil Extra Virgin Olive Oil,23,5,5
2/24/2018,8,Basil Extra Virgin Olive Oil,25,6,10
2/26/2018,9,Basil Extra Virgin Olive Oil,29,1,0
2/28/2018,9,Basil Extra Virgin Olive Oil,27,3,4
3/1/2018,9,Basil Extra Virgin Olive Oil,27,4,3
3/2/2018,9,Basil Extra Virgin Olive Oil,29,5,3
3/3/2018,9,Basil Extra Virgin Olive Oil,23,6,9
